Player,Country,Position,DOB,Age,Club
El Hadji Malick Diouf,Senegal,DF,2004-12-29,21,West Ham United
Pape Gueye,Senegal,MF,1999-01-24,27,Villarreal
Melvin Mastil,Algeria,GK,2000-02-19,26,Stade Nyonnais
Aïssa Mandi,Algeria,DF,1991-10-22,34,Lille
Achref Abada,Algeria,DF,1999-06-15,26,USM Alger
Mohamed Amine Tougai,Algeria,DF,2000-01-22,26,Espérance de Tunis
Zineddine Belaïd,Algeria,DF,1999-03-20,27,JS Kabylie
Ramiz Zerrouki,Algeria,MF,1998-05-26,28,Twente
Riyad Mahrez (captain),Algeria,FW,1991-02-21,35,Al-Ahli
Houssem Aouar,Algeria,MF,1998-06-30,27,Al-Ittihad
Amine Gouiri,Algeria,FW,2000-02-16,26,Marseille
Farès Chaïbi,Algeria,MF,2002-11-28,23,Eintracht Frankfurt
Anis Hadj Moussa,Algeria,FW,2002-02-11,24,Feyenoord
Nadhir Benbouali,Algeria,FW,2000-04-17,26,Győri ETO
Jaouen Hadjam,Algeria,DF,2003-03-26,23,Young Boys
Hicham Boudaoui,Algeria,MF,1999-09-23,26,Nice
Rayan Aït-Nouri,Algeria,DF,2001-06-06,25,Manchester City
Oussama Benbot,Algeria,GK,1994-10-11,31,USM Alger
Rafik Belghali,Algeria,DF,2002-06-07,24,Hellas Verona
Mohamed Amoura,Algeria,FW,2000-05-09,26,VfL Wolfsburg
Nabil Bentaleb,Algeria,MF,1994-11-24,31,Lille
Adil Boulbina,Algeria,FW,2003-05-02,23,Al-Duhail
Ramy Bensebaini,Algeria,DF,1995-04-16,31,Borussia Dortmund
Ibrahim Maza,Algeria,MF,2005-11-24,20,Bayer Leverkusen
Luca Zidane,Algeria,GK,1998-05-13,28,Granada
Yacine Titraoui,Algeria,MF,2003-07-26,22,Charleroi
Farès Ghedjemis,Algeria,FW,2002-09-06,23,Frosinone
Samir Chergui,Algeria,DF,1999-02-06,27,Paris FC
Juan Musso,Argentina,GK,1994-05-06,32,Atlético Madrid
Marcos Senesi,Argentina,DF,1997-05-10,29,Bournemouth
Nicolás Tagliafico,Argentina,DF,1992-08-31,33,Lyon
Gonzalo Montiel,Argentina,DF,1997-01-01,29,River Plate
Leandro Paredes,Argentina,MF,1994-06-29,31,Boca Juniors
Lisandro Martínez,Argentina,DF,1998-01-18,28,Manchester United
Rodrigo De Paul,Argentina,MF,1994-05-24,32,Inter Miami CF
Valentín Barco,Argentina,MF,2004-07-23,21,Strasbourg
Julián Alvarez,Argentina,FW,2000-01-31,26,Atlético Madrid
Lionel Messi (captain),Argentina,FW,1987-06-24,38,Inter Miami CF
Giovani Lo Celso,Argentina,MF,1996-04-09,30,Real Betis
Gerónimo Rulli,Argentina,GK,1992-05-20,34,Marseille
Cristian Romero,Argentina,DF,1998-04-27,28,Tottenham Hotspur
Exequiel Palacios,Argentina,MF,1998-10-05,27,Bayer Leverkusen
Nicolás González,Argentina,MF,1998-04-06,28,Atlético Madrid
Thiago Almada,Argentina,FW,2001-04-26,25,Atlético Madrid
Giuliano Simeone,Argentina,FW,2002-12-18,23,Atlético Madrid
Nico Paz,Argentina,FW,2004-09-08,21,Como
Nicolás Otamendi,Argentina,DF,1988-02-12,38,Benfica
Alexis Mac Allister,Argentina,MF,1998-12-24,27,Liverpool
José Manuel López,Argentina,FW,2000-12-06,25,Palmeiras
Lautaro Martínez,Argentina,FW,1997-08-22,28,Inter Milan
Emiliano Martínez,Argentina,GK,1992-09-02,33,Aston Villa
Enzo Fernández,Argentina,MF,2001-01-17,25,Chelsea
Facundo Medina,Argentina,DF,1999-05-28,27,Marseille
Nahuel Molina,Argentina,DF,1998-04-06,28,Atlético Madrid
Alexander Schlager,Austria,GK,1996-02-01,30,Red Bull Salzburg
David Affengruber,Austria,DF,2001-03-19,25,Elche
Kevin Danso,Austria,DF,1998-09-19,27,Tottenham Hotspur
Xaver Schlager,Austria,MF,1997-09-28,28,RB Leipzig
Stefan Posch,Austria,DF,1997-05-14,29,Mainz 05
Nicolas Seiwald,Austria,MF,2001-05-04,25,RB Leipzig
Marko Arnautović,Austria,FW,1989-04-19,37,Red Star Belgrade
David Alaba (captain),Austria,DF,1992-06-24,33,Real Madrid
Marcel Sabitzer,Austria,MF,1994-03-17,32,Borussia Dortmund
Florian Grillitsch,Austria,MF,1995-08-07,30,Braga
Michael Gregoritsch,Austria,FW,1994-04-18,32,FC Augsburg
Florian Wiegele,Austria,GK,2001-03-21,25,Viktoria Plzeň
Patrick Pentz,Austria,GK,1997-01-02,29,Brøndby
Saša Kalajdžić,Austria,FW,1997-07-07,28,LASK
Philipp Lienhart,Austria,DF,1996-07-11,29,SC Freiburg
Phillipp Mwene,Austria,DF,1994-01-29,32,Mainz 05
Carney Chukwuemeka,Austria,MF,2003-10-20,22,Borussia Dortmund
Romano Schmid,Austria,MF,2000-01-27,26,Werder Bremen
Dejan Ljubičić,Austria,MF,1997-10-08,28,Schalke 04
Konrad Laimer,Austria,MF,1997-05-27,29,Bayern Munich
Patrick Wimmer,Austria,FW,2001-05-30,25,VfL Wolfsburg
Alexander Prass,Austria,MF,2001-05-26,25,TSG Hoffenheim
Marco Friedl,Austria,DF,1998-03-16,28,Werder Bremen
Paul Wanner,Austria,MF,2005-12-23,20,PSV Eindhoven
Michael Svoboda,Austria,DF,1998-10-15,27,Venezia
Alessandro Schöpf,Austria,MF,1994-02-07,32,Wolfsberger AC
Yazeed Abulaila,Jordan,GK,1993-01-08,33,Al-Hussein
Mohammad Abu Hashish,Jordan,DF,1995-05-09,31,Al-Karma
Abdallah Nasib,Jordan,DF,1994-02-25,32,Al-Zawraa
Husam Abu Dahab,Jordan,DF,2000-05-13,26,Al-Faisaly
Yazan Al-Arab,Jordan,DF,1996-01-31,30,FC Seoul
Amer Jamous,Jordan,MF,2002-07-03,23,Al-Zawraa
Mohammad Abu Zrayq,Jordan,FW,1997-12-30,28,Raja Casablanca
Noor Al-Rawabdeh,Jordan,MF,1997-02-24,29,Selangor
Ali Olwan,Jordan,FW,2000-03-26,26,Al-Sailiya
Musa Al-Taamari,Jordan,FW,1997-06-10,29,Rennes
Odeh Al-Fakhouri,Jordan,FW,2005-11-22,20,Pyramids
Nour Bani Attiah,Jordan,GK,1993-01-25,33,Al-Faisaly
Mahmoud Al-Mardi,Jordan,FW,1993-10-06,32,Al-Hussein
Rajaei Ayed,Jordan,MF,1993-07-25,32,Al-Hussein
Ibrahim Sadeh,Jordan,MF,2000-04-27,26,Al-Karma
Mo Abualnadi,Jordan,DF,2001-02-08,25,Selangor
Salim Obaid,Jordan,DF,1992-01-17,34,Al-Hussein
Mohammad Taha,Jordan,MF,2005-07-13,20,Al-Hussein
Saed Al-Rosan,Jordan,DF,1997-02-01,29,Al-Hussein
Mohannad Abu Taha,Jordan,MF,2003-02-02,23,Al-Quwa Al-Jawiya
Nizar Al-Rashdan,Jordan,MF,1999-03-23,27,Qatar SC
Abdallah Al-Fakhouri,Jordan,GK,2000-01-22,26,Al-Wehdat
Ihsan Haddad (captain),Jordan,DF,1994-02-05,32,Al-Hussein
Ali Azaizeh,Jordan,FW,2004-04-13,22,Al-Shabab
Mohammad Al-Dawoud,Jordan,MF,1992-04-12,34,Al-Wehdat
Anas Badawi,Jordan,DF,1997-09-13,28,Al-Faisaly
David Ospina,Colombia,GK,1988-08-31,37,Atlético Nacional
Daniel Muñoz,Colombia,DF,1996-05-26,30,Crystal Palace
Jhon Lucumí,Colombia,DF,1998-06-26,27,Bologna
Santiago Arias,Colombia,DF,1992-01-13,34,Independiente
Kevin Castaño,Colombia,MF,2000-09-29,25,River Plate
Richard Ríos,Colombia,MF,2000-06-02,26,Benfica
Luis Díaz,Colombia,FW,1997-01-13,29,Bayern Munich
Jorge Carrascal,Colombia,MF,1998-05-25,28,Flamengo
Jhon Córdoba,Colombia,FW,1993-05-11,33,Krasnodar
James Rodríguez (captain),Colombia,MF,1991-07-12,34,Minnesota United FC
Jhon Arias,Colombia,MF,1997-09-21,28,Palmeiras
Camilo Vargas,Colombia,GK,1989-03-09,37,Atlas
Yerry Mina,Colombia,DF,1994-09-23,31,Cagliari
Gustavo Puerta,Colombia,DF,2003-07-23,22,Racing Santander
Juan Portilla,Colombia,MF,1998-09-12,27,Athletico Paranaense
Jefferson Lerma,Colombia,MF,1994-10-25,31,Crystal Palace
Johan Mojica,Colombia,DF,1992-08-21,33,Mallorca
Willer Ditta,Colombia,DF,1998-01-23,28,Cruz Azul
Cucho Hernández,Colombia,FW,1999-04-20,27,Real Betis
Juan Fernando Quintero,Colombia,MF,1993-01-18,33,River Plate
Jaminton Campaz,Colombia,FW,2000-05-24,26,Rosario Central
Deiver Machado,Colombia,DF,1993-09-02,32,Nantes
Davinson Sánchez,Colombia,DF,1996-06-12,29,Galatasaray
Álvaro Montero,Colombia,GK,1995-03-29,31,Vélez Sarsfield
Luis Suárez,Colombia,FW,1997-12-02,28,Sporting CP
Andrés Gómez,Colombia,FW,2002-09-12,23,Vasco da Gama
Lionel Mpasi,DR Congo,GK,1994-08-01,31,Le Havre
Aaron Wan-Bissaka,DR Congo,DF,1997-11-26,28,West Ham United
Steve Kapuadi,DR Congo,DF,1998-04-30,28,Widzew Łódź
Axel Tuanzebe,DR Congo,DF,1997-11-14,28,Burnley
Dylan Batubinsika,DR Congo,DF,1996-02-15,30,AEL
Ngal'ayel Mukau,DR Congo,MF,2004-11-03,21,Lille
Nathanaël Mbuku,DR Congo,MF,2002-03-16,24,Montpellier
Samuel Moutoussamy,DR Congo,MF,1996-08-12,29,Atromitos
Brian Cipenga,DR Congo,FW,1998-03-11,28,Castellón
Théo Bongonda,DR Congo,MF,1995-11-20,30,Spartak Moscow
Gaël Kakuta,DR Congo,FW,1991-06-21,34,AEL
Joris Kayembe,DR Congo,DF,1994-08-08,31,Genk
Meschak Elia,DR Congo,FW,1997-08-06,28,Alanyaspor
Noah Sadiki,DR Congo,MF,2004-12-17,21,Sunderland
Aaron Tshibola,DR Congo,MF,1995-01-02,31,Kilmarnock
Timothy Fayulu,DR Congo,GK,1999-07-24,26,Noah
Cédric Bakambu,DR Congo,FW,1991-04-11,35,Real Betis
Charles Pickel,DR Congo,MF,1997-05-15,29,Espanyol
Fiston Mayele,DR Congo,FW,1994-06-24,31,Pyramids
Yoane Wissa,DR Congo,FW,1996-09-03,29,Newcastle United
Matthieu Epolo,DR Congo,GK,2005-01-15,21,Standard Liège
Chancel Mbemba (captain),DR Congo,DF,1994-08-08,31,Lille
Simon Banza,DR Congo,FW,1996-08-13,29,Al Jazira
Gédéon Kalulu,DR Congo,DF,1997-08-29,28,Aris Limassol
Edo Kayembe,DR Congo,MF,1998-06-03,28,Watford
Arthur Masuaku,DR Congo,DF,1993-11-07,32,Lens
Diogo Costa,Portugal,GK,1999-09-19,26,Porto
Nélson Semedo,Portugal,DF,1993-11-16,32,Fenerbahçe
Rúben Dias,Portugal,DF,1997-05-14,29,Manchester City
Tomás Araújo,Portugal,DF,2002-05-16,24,Benfica
Diogo Dalot,Portugal,DF,1999-03-18,27,Manchester United
Matheus Nunes,Portugal,MF,1998-08-27,27,Manchester City
Cristiano Ronaldo (captain),Portugal,FW,1985-02-05,41,Al-Nassr
Bruno Fernandes,Portugal,MF,1994-09-08,31,Manchester United
Gonçalo Ramos,Portugal,FW,2001-06-20,24,Paris Saint-Germain
Bernardo Silva,Portugal,MF,1994-08-10,31,Manchester City
João Félix,Portugal,FW,1999-11-10,26,Al-Nassr
José Sá,Portugal,GK,1993-01-17,33,Wolverhampton Wanderers
Renato Veiga,Portugal,DF,2003-07-29,22,Villarreal
Gonçalo Inácio,Portugal,DF,2001-08-25,24,Sporting CP
João Neves,Portugal,MF,2004-09-27,21,Paris Saint-Germain
Francisco Trincão,Portugal,FW,1999-12-29,26,Sporting CP
Rafael Leão,Portugal,FW,1999-06-10,27,Milan
Pedro Neto,Portugal,FW,2000-03-09,26,Chelsea
Gonçalo Guedes,Portugal,FW,1996-11-29,29,Real Sociedad
João Cancelo,Portugal,DF,1994-05-27,32,Barcelona
Rúben Neves,Portugal,MF,1997-03-13,29,Al-Hilal
Rui Silva,Portugal,GK,1994-02-07,32,Sporting CP
Vitinha,Portugal,MF,2000-02-13,26,Paris Saint-Germain
Samú Costa,Portugal,DF,2000-11-27,25,Mallorca
Nuno Mendes,Portugal,DF,2002-06-19,23,Paris Saint-Germain
Francisco Conceição,Portugal,FW,2002-12-14,23,Juventus
Utkir Yusupov,Uzbekistan,GK,1991-01-04,35,Navbahor Namangan
Abdukodir Khusanov,Uzbekistan,DF,2004-02-29,22,Manchester City
Khojiakbar Alijonov,Uzbekistan,DF,1997-04-19,29,Pakhtakor
Farrukh Sayfiev,Uzbekistan,DF,1991-01-17,35,Neftchi Fergana
Rustam Ashurmatov,Uzbekistan,DF,1996-07-07,29,Esteghlal
Akmal Mozgovoy,Uzbekistan,MF,1999-04-02,27,Pakhtakor
Otabek Shukurov,Uzbekistan,MF,1996-06-22,29,Baniyas
Jamshid Iskanderov,Uzbekistan,MF,1993-10-16,32,Neftchi Fergana
Odiljon Hamrobekov,Uzbekistan,MF,1996-02-13,30,Tractor
Ruslanbek Jiyanov,Uzbekistan,MF,2001-06-05,25,Navbahor Namangan
Oston Urunov,Uzbekistan,MF,2000-12-19,25,Persepolis
Abduvohid Nematov,Uzbekistan,GK,2001-03-20,25,Nasaf
Sherzod Nasrullaev,Uzbekistan,DF,1998-07-23,27,Nasaf
Eldor Shomurodov (captain),Uzbekistan,FW,1995-06-29,30,İstanbul Başakşehir
Umar Eshmurodov,Uzbekistan,DF,1992-11-30,33,Nasaf
Botirali Ergashev,Uzbekistan,GK,1995-06-23,30,Neftchi Fergana
Dostonbek Khamdamov,Uzbekistan,MF,1996-07-24,29,Pakhtakor
Abdulla Abdullaev,Uzbekistan,DF,1997-09-01,28,Dibba
Azizjon Ganiev,Uzbekistan,MF,1998-02-22,28,Al Bataeh
Azizbek Amonov,Uzbekistan,FW,1997-10-30,28,Dinamo Samarqand
Igor Sergeev,Uzbekistan,FW,1993-04-30,33,Persepolis
Abbosbek Fayzullaev,Uzbekistan,MF,2003-10-03,22,İstanbul Başakşehir
Sherzod Esanov,Uzbekistan,MF,2003-02-01,23,Bukhara
Bekhruz Karimov,Uzbekistan,DF,2007-08-07,18,Surkhon Termiz
Avazbek Ulmasaliev,Uzbekistan,DF,2000-03-27,26,AGMK
Jakhongir Urozov,Uzbekistan,DF,2004-01-18,22,Dinamo Samarqand
Dominik Livaković,Croatia,GK,1995-01-09,31,Dinamo Zagreb
Josip Stanišić,Croatia,DF,2000-04-02,26,Bayern Munich
Marin Pongračić,Croatia,DF,1997-09-11,28,Fiorentina
Joško Gvardiol,Croatia,DF,2002-01-23,24,Manchester City
Duje Ćaleta-Car,Croatia,DF,1996-09-17,29,Real Sociedad
Josip Šutalo,Croatia,DF,2000-02-28,26,Ajax
Nikola Moro,Croatia,MF,1998-03-12,28,Bologna
Mateo Kovačić,Croatia,MF,1994-05-06,32,Manchester City
Andrej Kramarić,Croatia,FW,1991-06-19,34,TSG Hoffenheim
Luka Modrić (captain),Croatia,MF,1985-09-09,40,Milan
Ante Budimir,Croatia,FW,1991-07-22,34,Osasuna
Ivor Pandur,Croatia,GK,2000-03-25,26,Hull City
Nikola Vlašić,Croatia,MF,1997-10-04,28,Torino
Ivan Perišić,Croatia,FW,1989-02-02,37,PSV Eindhoven
Mario Pašalić,Croatia,MF,1995-02-09,31,Atalanta
Martin Baturina,Croatia,MF,2003-02-16,23,Como
Petar Sučić,Croatia,MF,2003-10-25,22,Inter Milan
Kristijan Jakić,Croatia,DF,1997-05-14,29,FC Augsburg
Toni Fruk,Croatia,MF,2001-03-09,25,Rijeka
Igor Matanović,Croatia,FW,2003-03-31,23,SC Freiburg
Luka Sučić,Croatia,MF,2002-09-08,23,Real Sociedad
Luka Vušković,Croatia,DF,2007-02-24,19,Hamburger SV
Dominik Kotarski,Croatia,GK,2000-02-10,26,Copenhagen
Marco Pašalić,Croatia,FW,2000-09-14,25,Orlando City SC
Martin Erlić,Croatia,DF,1998-01-24,28,Midtjylland
Petar Musa,Croatia,FW,1998-03-04,28,FC Dallas
Jordan Pickford,England,GK,1994-03-07,32,Everton
Ezri Konsa,England,DF,1997-10-23,28,Aston Villa
Nico O'Reilly,England,DF,2005-03-21,21,Manchester City
Declan Rice,England,MF,1999-01-14,27,Arsenal
John Stones,England,DF,1994-05-28,32,Manchester City
Marc Guéhi,England,DF,2000-07-13,25,Manchester City
Bukayo Saka,England,FW,2001-09-05,24,Arsenal
Elliot Anderson,England,MF,2002-11-06,23,Nottingham Forest
Harry Kane (captain),England,FW,1993-07-28,32,Bayern Munich
Jude Bellingham,England,MF,2003-06-29,22,Real Madrid
Marcus Rashford,England,FW,1997-10-31,28,Barcelona
Trevoh Chalobah,England,DF,1999-07-05,26,Chelsea
Dean Henderson,England,GK,1997-03-12,29,Crystal Palace
Jordan Henderson,England,MF,1990-06-17,35,Brentford
Dan Burn,England,DF,1992-05-09,34,Newcastle United
Kobbie Mainoo,England,MF,2005-04-19,21,Manchester United
Morgan Rogers,England,MF,2002-07-26,23,Aston Villa
Anthony Gordon,England,FW,2001-02-24,25,Newcastle United
Ollie Watkins,England,FW,1995-12-30,30,Aston Villa
Noni Madueke,England,FW,2002-03-10,24,Arsenal
Eberechi Eze,England,MF,1998-06-29,27,Arsenal
Ivan Toney,England,FW,1996-03-16,30,Al-Ahli
James Trafford,England,GK,2002-10-10,23,Manchester City
Reece James,England,DF,1999-12-08,26,Chelsea
Djed Spence,England,DF,2000-08-09,25,Tottenham Hotspur
Jarell Quansah,England,DF,2003-01-29,23,Bayer Leverkusen
Lawrence Ati-Zigi,Ghana,GK,1996-11-29,29,St. Gallen
Alidu Seidu,Ghana,DF,2000-06-04,26,Rennes
Caleb Yirenkyi,Ghana,MF,2006-01-15,20,Nordsjælland
Jonas Adjetey,Ghana,DF,2003-12-13,22,VfL Wolfsburg
Thomas Partey,Ghana,MF,1993-06-13,32,Villarreal
Abdul Mumin,Ghana,DF,1998-06-06,28,Rayo Vallecano
Abdul Fatawu,Ghana,FW,2004-03-08,22,Leicester City
Kwasi Sibo,Ghana,MF,1998-06-24,27,Oviedo
Jordan Ayew (captain),Ghana,FW,1991-09-11,34,Leicester City
Brandon Thomas-Asante,Ghana,FW,1998-12-29,27,Coventry City
Antoine Semenyo,Ghana,MF,2000-01-07,26,Manchester City
Joseph Anang,Ghana,GK,2000-06-08,26,St Patrick's Athletic
Christopher Bonsu Baah,Ghana,FW,2004-12-14,21,Al-Qadsiah
Gideon Mensah,Ghana,DF,1998-07-18,27,Auxerre
Elisha Owusu,Ghana,MF,1997-11-07,28,Auxerre
Benjamin Asare,Ghana,GK,1992-07-13,33,Hearts of Oak
Abdul Rahman Baba,Ghana,DF,1994-07-02,31,PAOK
Jerome Opoku,Ghana,DF,1998-10-14,27,İstanbul Başakşehir
Iñaki Williams,Ghana,FW,1994-06-15,31,Athletic Bilbao
Augustine Boakye,Ghana,MF,2000-11-03,25,Saint-Étienne
Kojo Peprah Oppong,Ghana,DF,2004-06-04,22,Nice
Kamaldeen Sulemana,Ghana,FW,2002-02-15,24,Atalanta
Derrick Luckassen,Ghana,DF,1995-07-03,30,Pafos
Ernest Nuamah,Ghana,FW,2003-11-01,22,Lyon
Prince Kwabena Adu,Ghana,FW,2003-09-23,22,Viktoria Plzeň
Marvin Senaya,Ghana,DF,2001-01-28,25,Auxerre
Luis Mejía,Panama,GK,1991-03-16,35,Nacional
César Blackman,Panama,DF,1998-04-02,28,Slovan Bratislava
José Córdoba,Panama,DF,2001-06-03,25,Norwich City
Fidel Escobar,Panama,DF,1995-01-09,31,Saprissa
Edgardo Fariña,Panama,DF,2001-10-19,24,Pari Nizhny Novgorod
Cristian Martínez,Panama,MF,1997-02-06,29,Ironi Kiryat Shmona
José Luis Rodríguez,Panama,MF,1998-06-19,27,Juárez
Adalberto Carrasquilla,Panama,MF,1998-11-28,27,Pumas UNAM
Tomás Rodríguez,Panama,FW,1999-03-09,27,Saprissa
Ismael Díaz,Panama,MF,1997-05-12,29,León
Yoel Bárcenas,Panama,MF,1993-10-23,32,Mazatlán
César Samudio,Panama,GK,1994-02-23,32,Marathón
Jiovany Ramos,Panama,DF,1997-01-26,29,Puerto Cabello
Carlos Harvey,Panama,DF,2000-02-03,26,Minnesota United FC
Eric Davis,Panama,DF,1991-03-31,35,Plaza Amador
Andrés Andrade,Panama,DF,1998-10-16,27,LASK
José Fajardo,Panama,FW,1993-08-18,32,Universidad Católica
Cecilio Waterman,Panama,FW,1991-04-13,35,Universidad de Concepción
Alberto Quintero,Panama,MF,1987-12-18,38,Plaza Amador
Aníbal Godoy (captain),Panama,MF,1990-02-10,36,San Diego FC
César Yanis,Panama,MF,1996-01-28,30,Cobresal
Orlando Mosquera,Panama,GK,1994-12-25,31,Al-Fayha
Michael Amir Murillo,Panama,DF,1996-02-11,30,Beşiktaş
Azarias Londoño,Panama,FW,2001-06-21,24,Universidad Católica
Roderick Miller,Panama,DF,1992-04-03,34,Turan Tovuz
Jorge Gutiérrez,Panama,DF,1998-09-01,27,Deportivo La Guaira
